epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,473.036,0.74164,1.32495,1.10728,0.57536,0.78889,0.8026,0.65383,0.63141,4.61592,1.15482,0.0006,0.0006,0.0006
2,930.702,0.6394,0.70395,1.03869,0.47424,0.21111,0.29843,0.15763,1.96283,3.82968,2.23734,0.00119584,0.00119584,0.00119584
3,1390.29,0.72235,0.72527,1.06265,0.04111,0.07778,0.00837,0.00403,4.51982,15.2667,5.65257,0.00176714,0.00176714,0.00176714
4,1875.12,0.70388,0.69748,1.05898,0.68925,0.72222,0.7609,0.51769,0.96008,3.54042,1.42169,0.0018812,0.0018812,0.0018812
5,2369.81,0.6949,0.62139,1.04814,0.80175,0.719,0.79051,0.57023,0.79692,1.41484,1.26206,0.0018416,0.0018416,0.0018416
6,2850.72,0.63092,0.5962,1.02625,0.20225,0.52222,0.16696,0.10896,1.4687,2.26952,1.77821,0.001802,0.001802,0.001802
7,3342.38,0.60742,0.54715,1.02329,0.61604,0.78443,0.71545,0.55304,0.81732,1.18619,1.19223,0.0017624,0.0017624,0.0017624
8,3847.79,0.59356,0.55892,1.00516,0.90225,0.9,0.95369,0.81161,0.6274,0.5956,1.11126,0.0017228,0.0017228,0.0017228
9,4551.52,0.61123,0.54272,1.00094,0.81672,0.6,0.7206,0.50559,1.03521,1.10003,1.49381,0.0016832,0.0016832,0.0016832
10,5061.48,0.54363,0.48551,1.00105,0.93404,0.94406,0.98045,0.80894,0.56916,0.61133,0.99853,0.0016436,0.0016436,0.0016436
11,5590.62,0.5648,0.49911,0.98166,0.82798,0.84444,0.88574,0.68796,0.7756,0.88843,1.18531,0.001604,0.001604,0.001604
12,6122.32,0.57007,0.49093,0.98304,0.87686,0.87033,0.92242,0.7257,0.60879,0.5824,1.05904,0.0015644,0.0015644,0.0015644
13,6769.01,0.54042,0.4627,0.9868,0.9018,0.8163,0.95439,0.78256,0.67268,0.49464,1.1619,0.0015248,0.0015248,0.0015248
14,7402.96,0.55799,0.47906,0.98116,0.87731,0.94444,0.97403,0.78929,0.62154,0.4654,1.04304,0.0014852,0.0014852,0.0014852
15,7945.75,0.50497,0.44249,0.9814,0.86217,0.9036,0.95327,0.79526,0.5763,0.47115,1.01087,0.0014456,0.0014456,0.0014456
16,8424.78,0.51948,0.46823,0.97679,0.84359,0.86667,0.93646,0.76436,0.66995,0.63436,1.16099,0.001406,0.001406,0.001406
17,8905.3,0.52461,0.46651,0.98654,0.88527,0.94307,0.96827,0.81493,0.59251,0.49202,1.05479,0.0013664,0.0013664,0.0013664
18,9373.09,0.50119,0.41198,0.95921,0.93078,0.9,0.96002,0.83054,0.57886,0.49854,1.01902,0.0013268,0.0013268,0.0013268
19,9818.68,0.48315,0.40609,0.95994,0.93525,0.96301,0.98468,0.85,0.54717,0.46969,0.98803,0.0012872,0.0012872,0.0012872
20,10277.1,0.47749,0.39782,0.9501,0.90023,0.91111,0.94426,0.80999,0.6169,0.54145,1.03586,0.0012476,0.0012476,0.0012476
21,10789.1,0.47156,0.39545,0.9453,0.94645,0.9819,0.99114,0.87222,0.46205,0.34231,0.92822,0.001208,0.001208,0.001208
22,11251.6,0.45609,0.3782,0.94743,0.90031,0.98889,0.98389,0.8605,0.48105,0.35481,0.96964,0.0011684,0.0011684,0.0011684
23,11798.3,0.48181,0.38647,0.95139,0.95205,0.97778,0.98351,0.86321,0.49371,0.37609,0.95619,0.0011288,0.0011288,0.0011288
24,12287.2,0.4604,0.36181,0.95952,0.89829,0.92222,0.95269,0.80892,0.54539,0.4025,1.0254,0.0010892,0.0010892,0.0010892
25,12753.7,0.454,0.36484,0.94371,0.8506,0.88889,0.93681,0.79535,0.53958,0.44188,1.03761,0.0010496,0.0010496,0.0010496
26,13206.4,0.45747,0.35286,0.95097,0.90594,0.86667,0.96072,0.82878,0.52328,0.38392,1.00538,0.00101,0.00101,0.00101
27,13665,0.44575,0.35268,0.941,0.98725,0.94444,0.98244,0.86173,0.50534,0.3727,0.9662,0.0009704,0.0009704,0.0009704
28,14129.6,0.4322,0.34871,0.93424,0.97795,0.98581,0.98651,0.87394,0.50168,0.34449,0.95129,0.0009308,0.0009308,0.0009308
29,14664.3,0.43061,0.34931,0.93865,0.98506,0.94444,0.98964,0.87993,0.45014,0.37085,0.93608,0.0008912,0.0008912,0.0008912
30,15157.1,0.43172,0.34574,0.93835,0.91129,0.95556,0.97539,0.856,0.50496,0.40392,0.98771,0.0008516,0.0008516,0.0008516
31,15645.3,0.41676,0.33608,0.92976,0.8708,0.97359,0.97241,0.85969,0.48436,0.37703,0.97557,0.000812,0.000812,0.000812
32,16104.4,0.38814,0.32134,0.92119,0.866,0.95556,0.9759,0.8668,0.49814,0.34336,0.95808,0.0007724,0.0007724,0.0007724
33,16555.3,0.41133,0.33663,0.93736,0.94386,0.94444,0.98789,0.88191,0.46177,0.30977,0.93257,0.0007328,0.0007328,0.0007328
34,17022.3,0.4167,0.33267,0.94264,0.9757,0.93333,0.98769,0.89458,0.48123,0.32857,0.96367,0.0006932,0.0006932,0.0006932
35,17478,0.41032,0.32182,0.93353,0.98879,0.98022,0.99446,0.89664,0.48475,0.30772,0.93981,0.0006536,0.0006536,0.0006536
36,17929.1,0.39388,0.31922,0.91738,0.99757,0.97778,0.99358,0.88612,0.46466,0.28708,0.94001,0.000614,0.000614,0.000614
37,18373.8,0.38739,0.30627,0.9218,0.96699,0.97644,0.99096,0.89275,0.44715,0.31029,0.91956,0.0005744,0.0005744,0.0005744
38,18829.3,0.37577,0.31273,0.91622,0.96,0.97778,0.99114,0.89316,0.42836,0.29048,0.91398,0.0005348,0.0005348,0.0005348
39,19282.8,0.37166,0.29221,0.92647,0.97714,0.98889,0.99198,0.90117,0.4299,0.30185,0.9064,0.0004952,0.0004952,0.0004952
40,19728.8,0.37114,0.30148,0.91898,0.9667,0.97778,0.99277,0.90807,0.45359,0.30352,0.92609,0.0004556,0.0004556,0.0004556
41,20199.4,0.33064,0.28142,0.90911,0.97796,0.98591,0.99267,0.89913,0.43148,0.28198,0.91491,0.000416,0.000416,0.000416
42,20657.3,0.31412,0.24709,0.89753,0.98855,0.96667,0.9927,0.89916,0.45414,0.28484,0.91528,0.0003764,0.0003764,0.0003764
43,21115.5,0.31512,0.23292,0.88447,0.97641,0.93333,0.99007,0.89743,0.43495,0.30055,0.92119,0.0003368,0.0003368,0.0003368
44,21575.9,0.31465,0.22419,0.87855,0.95088,0.96667,0.98841,0.8944,0.43142,0.28383,0.91501,0.0002972,0.0002972,0.0002972
45,22024.9,0.30118,0.2196,0.88691,0.97823,0.99872,0.99321,0.91451,0.42436,0.26603,0.89155,0.0002576,0.0002576,0.0002576
46,22492.6,0.29112,0.20913,0.88136,0.97735,1,0.99402,0.92771,0.41416,0.24358,0.88838,0.000218,0.000218,0.000218
47,22944.6,0.27936,0.20293,0.87381,0.97656,1,0.99413,0.92473,0.42482,0.26309,0.89842,0.0001784,0.0001784,0.0001784
48,23410.4,0.27693,0.19692,0.87169,0.96627,0.98889,0.9934,0.91635,0.43468,0.25638,0.90515,0.0001388,0.0001388,0.0001388
49,23871.7,0.27244,0.19639,0.87285,0.96519,0.98889,0.99392,0.91115,0.42589,0.25502,0.90336,9.92e-05,9.92e-05,9.92e-05
50,24393.9,0.26027,0.18744,0.8679,0.97462,0.98889,0.99403,0.91247,0.42439,0.25204,0.90334,5.96e-05,5.96e-05,5.96e-05
